"Seviye","Kelime","Tür","Anlam","Cümle"
"A1 1 S","a","indefinite article","(herhangi) bir, belirli bir tür veya nitelikteki","I need a book. Bir kitaba ihtiyacım var."
"A1 1 S","a det","determiner","birkaç, birtakım","A few people came to the party. Partiye birkaç kişi geldi."
"A1 1 S","a lot","adverb + pronoun","çok, bir sürü","I like it a lot. Onu çok seviyorum."
"A1 1 S","a lot of","determiner","çok sayıda, bir sürü","There are a lot of cars. Çok sayıda araba var."
"A1 1 S","about","preposition","hakkında, üzerine","We are talking about the weather. Hava hakkında konuşuyoruz."
"A1 1 S","add","verb","eklemek, ilave etmek","Add some sugar, please. Lütfen biraz şeker ekle."
"A1 1 S","afternoon","noun","öğleden sonra","I will see you in the afternoon. Seni öğleden sonra göreceğim."
"A1 1 S","again","adverb","tekrar, gene","Please say it again. Lütfen bunu tekrar söyle."
"A1 1 S","Alex","noun","özel isim (Alex)","Alex is my friend. Alex benim arkadaşım."
"A1 1 S","Alice","noun","özel isim (Alice)","Alice is reading a book. Alice bir kitap okuyor."
"A1 1 S","alien","noun","uzaylı","He saw an alien in the movie. Filimde bir uzaylı gördü."
"A1 1 S","alphabet","noun","alfabe","Can you say the alphabet? Alfabeyi söyleyebilir misin?"
"A1 1 S","an","indefinite article","bir (sesli harfle başlayan kelimelerin önünde)","She is an artist. O bir sanatçı."
"A1 1 S","and","conjunction","ve","I have a cat and a dog. Bir kedim ve bir köpeğim var."
"A1 1 S","angry","adjective","kızgın, öfkeli","The teacher is angry. Öğretmen kızgın."
"A1 1 S","animal","noun","hayvan","The lion is a wild animal. Aslan vahşi bir hayvandır."
"A1 1 S","Ann/Anna","noun","özel isim (Ann/Anna)","Ann likes apples. Ann elmaları sever."
"A1 1 S","answer","noun + verb","cevap, yanıt / cevap vermek","I know the answer. Cevabı biliyorum."
"A1 1 S","apartment (UK ﬂat)","noun","apartman dairesi","They live in a big apartment. Büyük bir apartmanda yaşıyorlar."
"A1 1 S","apple","noun","elma","I eat an apple every day. Her gün bir elma yerim."
"A1 1 S","arm","noun","kol","He hurt his arm. Kolunu incitti."
"A1 1 S","armchair","noun","koltuk","Sit down in the armchair. Koltuğa otur."
"A1 1 S","ask","verb","sormak","Let me ask a question. Bir soru sormama izin ver."
"A1 1 S","at","preposition of place","de, da (konum belirtmek için)","She is at home. O evde."
"A1 1 S","B","noun","B harfi","The word starts with B. Kelime B ile başlıyor."
"A1 1 S","baby","noun","bebek","The baby is sleeping. Bebek uyuyor."
"A1 1 S","badminton","noun","badminton","We play badminton on Sundays. Pazar günleri badminton oynarız."
"A1 1 S","bag","noun","çanta","My book is in the bag. Kitabım çantada."
"A1 1 S","ball","noun","top","The boy has a red ball. Çocuğun kırmızı bir topu var."
"A1 1 S","balloon","noun","balon","She has a pink balloon. Onun pembe bir balonu var."
"A1 1 S","banana","noun","muz","Monkeys love bananas. Maymunlar muzu sever."
"A1 1 S","baseball","noun","beyzbol","They play baseball outside. Dışarıda beyzbol oynuyorlar."
"A1 1 S","baseball cap","noun","beyzbol şapkası","He wears a baseball cap. Bir beyzbol şapkası takıyor."
"A1 1 S","basketball","noun","basketbol","Basketball is a popular sport. Basketbol popüler bir spordur."
"A1 1 S","bat (as sports equipment)","noun","oyun sopası (raket/baston)","He bought a new baseball bat. Yeni bir beyzbol sopası satın aldı."
"A1 1 S","bath","noun","banyo","I take a bath every evening. Her akşam banyo yaparım."
"A1 1 S","bathroom","noun","banyo odası","Where is the bathroom? Banyo nerede?"
"A1 1 S","be","verb","olmak","I want to be a pilot. Pilot olmak istiyorum."
"A1 1 S","beach","noun","plaj, kumsal","We walked on the beach. Kumsalda yürüdük."
"A1 1 S","bean","noun","fasulye","She likes green beans. Yeşil fasulyeyi sever."
"A1 1 S","bear","noun","ayı","A bear lives in the forest. Ormanda bir ayı yaşar."
"A1 1 S","beautiful","adjective","güzel","It is a beautiful day. Güzel bir gün."
"A1 1 S","bed","noun","yatak","It is time for bed. Yatış vakti."
"A1 1 S","bedroom","noun","yatak odası","My bedroom is upstairs. Yatak odam üst katta."
"A1 1 S","bee","noun","arı","A bee makes honey. Arı bal yapar."
"A1 1 S","behind","preposition","arkasında","The cat is behind the door. Kedi kapının arkasında."
"A1 1 S","Ben","noun","özel isim (Ben)","Ben is my brother. Ben benim erkek kardeşim."
"A1 1 S","between","preposition","arasında","The ball is between the boxes. Top kutuların arasında."
"A1 1 S","big","adjective","büyük","An elephant is a big animal. Fil büyük bir hayvandır."
"A1 1 S","bike","noun","bisiklet","I ride my bike to school. Okula bisikletimle giderim."
"A1 1 S","Bill","noun","özel isim (Bill)","Bill has a new car. Bill'in yeni bir arabası var."
"A1 1 S","bird","noun","kuş","A bird can fly. Bir kuş uçabilir."
"A1 1 S","birthday","noun","doğum günü","Today is my birthday. Bugün benim doğum günüm."
"A1 1 S","black","adjective","siyah","He has a black jacket. Siyah bir ceketi var."
"A1 1 S","blue","adjective","mavi","The sky is blue. Gökyüzü mavi."
"A1 1 S","board game","noun","kutu oyunu","We play a board game tonight. Bu gece bir kutu oyunu oynayacağız."
"A1 1 S","board","noun","tahta","Look at the board, please. Lütfen tahtaya bakın."
"A1 1 S","boat","noun","tekne, bot","They are sailing in a boat. Bir teknede yelken açıyorlar."
"A1 1 S","body","noun","vücut","Exercise is good for your body. Egzersiz vücudun için iyidir."
"A1 1 S","book","noun","kitap","I am reading a book. Bir kitap okuyorum."
"A1 1 S","bookcase","noun","kitaplık","The bookcase is full of books. Kitaplık kitap dolu."
"A1 1 S","bookshop","noun","kitapçı","I bought this novel at the bookshop. Bu romanı kitapçıdan aldım."
"A1 1 S","boots","noun","bot, çizmeler","She is wearing leather boots. Deri botlar giyiyor."
"A1 1 S","bounce","verb","zıplatmak","The child bounces the ball. Çocuk topu zıplatıyor."
"A1 1 S","box","noun","kutu","The gift is in a big box. Hediye büyük bir kutuda."
"A1 1 S","boy","noun","erkek çocuk","The boy is playing football. Erkek çocuk futbol oynuyor."
"A1 1 S","bread","noun","ekmek","I eat bread for breakfast. Kahvaltıda ekmek yerim."
"A1 1 S","breakfast","noun","kahvaltı","What did you eat for breakfast? Kahvaltıda ne yedin?"
"A1 1 S","brother","noun","erkek kardeş","My brother plays guitar. Erkek kardeşim gitar çalar."
"A1 1 S","brown","adjective","kahverengi","The dog is brown. Köpek kahverengi."
"A1 1 S","burger","noun","hamburger","We ate a delicious burger. Lezzetli bir hamburger yedik."
"A1 1 S","bus","noun","otobüs","I take the bus to work. İşe otobüsle giderim."
"A1 1 S","but","conjunction","ama, fakat","I want to go, but I can't. Gitmek istiyorum ama gidemem."
"A1 1 S","bye","exclamation","hoşça kal","Bye! See you tomorrow. Hoşça kal! Yarın görüşürüz."
"A1 1 S","C","noun","C harfi","Cat starts with C. Kedi C ile başlar."
